dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,4.523581,18.228538,0.066143,1.322869,13.228692,132.286924,0.006151
0.100000,4.697501,18.231727,0.240093,1.739494,4.166251,-90.624412,0.030627
0.100000,4.985775,18.246588,0.528750,2.886567,11.470723,73.044721,0.072666
0.100000,5.385518,18.287901,0.930622,4.018721,11.321543,-1.491803,0.133735
0.100000,5.891859,18.376940,1.444732,5.141101,11.223805,-0.977384,0.214775
0.100000,6.497556,18.541168,2.072298,6.275665,11.345640,1.218348,0.314525
0.100000,7.193161,18.812407,2.818915,7.466167,11.905013,5.593735,0.427376
0.100000,7.967947,19.222476,3.695527,8.766123,12.999567,10.945540,0.542430
0.100000,8.812160,19.796207,4.716245,10.207171,14.410480,14.109133,0.645697
0.100000,9.721912,20.544545,5.894234,11.779893,15.727220,13.167397,0.724131
0.100000,10.620702,21.378337,7.120216,12.259824,4.799305,-109.279153,0.765352
0.100000,11.437690,22.172115,8.259318,11.391018,-8.688058,-134.873629,0.771816
0.100000,12.182160,22.886156,9.290865,10.315474,-10.755442,-20.673839,0.753536
0.100000,12.859893,23.501993,10.206604,9.157383,-11.580904,-8.254620,0.718746
0.100000,13.467330,24.011332,10.999324,7.927206,-12.301771,-7.208673,0.674668
0.100000,13.994334,24.413681,11.662361,6.630369,-12.968375,-6.666039,0.627992
0.100000,14.427573,24.714414,12.189748,5.273866,-13.565028,-5.966527,0.584698
0.100000,14.753829,24.922337,12.576626,3.868781,-14.050846,-4.858176,0.549647
0.100000,14.962407,25.046815,12.819525,2.428990,-14.397916,-3.470699,0.526302
0.100000,15.046386,25.095069,12.916380,0.968546,-14.604436,-2.065208,0.516720
0.100000,15.056594,25.100861,12.928116,0.117363,-8.511837,60.925994,0.515549
0.100000,15.056594,25.100861,12.928116,0.000000,-1.173625,73.382117,0.515549
