dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,4.529732,17.228557,0.066143,1.322869,13.228692,132.286924,0.006151
0.100000,4.728124,17.232196,0.264574,2.645738,13.228692,0.000000,0.030627
0.100000,5.058378,17.249227,0.595291,3.968608,13.228692,-0.000000,0.072666
0.100000,5.518855,17.296830,1.058295,5.291477,13.228692,0.000000,0.133735
0.100000,6.104987,17.399916,1.653587,6.614346,13.228692,-0.000000,0.214775
0.100000,6.806921,17.590224,2.381165,7.937215,13.228692,0.000000,0.314525
0.100000,7.607645,17.902351,3.241030,9.260085,13.228692,0.000000,0.427376
0.100000,8.484166,18.366019,4.233182,10.582954,13.228692,0.000000,0.542430
0.100000,9.413915,18.997527,5.357620,11.905823,13.228692,-0.000000,0.645697
0.100000,10.384397,19.795470,6.614346,13.228692,13.228692,0.000000,0.724131
0.100000,11.313493,20.657198,7.881637,12.117120,-11.115728,-243.444199,0.765352
0.100000,12.135128,21.455470,9.027205,10.794250,-13.228692,-21.129649,0.771816
0.100000,12.866381,22.156882,10.040487,9.471381,-13.228692,0.000000,0.753536
0.100000,13.518334,22.749361,10.921482,8.148512,-13.228692,0.000000,0.718746
0.100000,14.091969,23.230417,11.670189,6.825643,-13.228692,0.000000,0.674668
0.100000,14.581855,23.604472,12.286610,5.502773,-13.228692,0.000000,0.627992
0.100000,14.979521,23.880535,12.770744,4.179904,-13.228692,0.000000,0.584698
0.100000,15.276215,24.069628,13.122591,2.857035,-13.228692,-0.000000,0.549647
0.100000,15.464747,24.182145,13.342151,1.534166,-13.228692,0.000000,0.526302
0.100000,15.540418,24.225625,13.429424,0.211296,-13.228692,0.000000,0.516720
0.100000,15.549606,24.230839,13.439989,0.000000,-2.112965,111.157275,0.515549
0.100000,15.549606,24.230839,13.439989,0.000000,0.000000,21.129649,0.515549
