dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,4.535883,16.228576,0.066143,1.322869,13.228692,132.286924,0.006151
0.100000,4.758746,16.232665,0.289044,2.229006,9.061367,-41.673256,0.030627
0.100000,5.130980,16.251866,0.661773,3.727286,14.982806,59.214387,0.072666
0.100000,5.652192,16.305759,1.185763,5.239907,15.126210,1.434043,0.133735
0.100000,6.318114,16.422891,1.861909,6.761451,15.215433,0.892231,0.214775
0.100000,7.116286,16.639281,2.688893,8.269843,15.083920,-1.315133,0.314525
0.100000,8.022129,16.992294,3.661092,9.721988,14.521450,-5.624700,0.427376
0.100000,9.000384,17.509562,4.767685,11.065936,13.439482,-10.819677,0.542430
0.100000,10.015670,18.198846,5.994844,12.271587,12.056509,-13.829732,0.645697
0.100000,11.046882,19.046394,7.329660,13.348160,10.765733,-12.907759,0.724131
0.100000,12.006284,19.936060,8.638078,13.084177,-2.639833,-134.055661,0.765352
0.100000,12.832566,20.738824,9.790108,11.520302,-15.638747,-129.989135,0.771816
0.100000,13.550603,21.427607,10.785095,9.949871,-15.704309,-0.655621,0.753536
0.100000,14.176775,21.996729,11.631257,8.461620,-14.882511,8.217980,0.718746
0.100000,14.716607,22.449503,12.335830,7.045733,-14.158873,7.236376,0.674668
0.100000,15.169376,22.795263,12.905523,5.696925,-13.488073,6.707999,0.627992
0.100000,15.531468,23.046656,13.346328,4.408054,-12.888710,5.993637,0.584698
0.100000,15.798601,23.216919,13.663108,3.167796,-12.402587,4.861231,0.549647
0.100000,15.967086,23.317474,13.859319,1.962109,-12.056868,3.457189,0.526302
0.100000,16.034449,23.356180,13.937010,0.776909,-11.851997,2.048704,0.516720
0.100000,16.042619,23.360816,13.946403,0.093935,-6.829740,50.222573,0.515549
0.100000,16.042619,23.360816,13.946403,0.000000,-0.939353,58.903866,0.515549
